country,Purchasing Power Index,Purchasing Power Index Category,Safety Index,Safety Index Category,Health Care Index,Health Care Index Category,Climate Index,Climate Index Category,Cost of Living Index,Cost of Living Index Category,Property Price to Income Ratio,Property Price to Income Ratio Category,Traffic Commute Time Index,Traffic Commute Time Index Category,Pollution Index,Pollution Index Category,Quality of Life Index,Quality of Life Index Category
Syria,6.66,Very Low,32.79,Low,37.02,Low,70.11,High,28.58,Very Low,69.86,Very High,30.63,Low,73.76,High,20.03,Very Low
Taiwan,58.31,Low,84.67,Very High,86.41,Very High,81.60,Very High,62.61,Moderate,22.61,Very High,31.55,Low,65.13,High,139.36,Moderate
Tajikistan,15.23,Very Low,53.31,Moderate,35.19,Low,?,,26.09,Very Low,14.71,High,27.00,Low,60.30,High,?,
Tanzania,15.65,Very Low,43.70,Moderate,36.62,Low,71.28,High,32.84,Very Low,36.99,Very High,28.55,Low,63.40,High,69.71,Very Low
Thailand,33.31,Very Low,60.44,High,77.65,High,69.45,High,41.92,Low,20.83,Very High,39.76,Moderate,75.41,High,102.58,Low
Timor-Leste,10.64,Very Low,57.37,Moderate,54.58,Moderate,?,,54.65,Low,63.24,Very High,25.00,Very Low,60.35,High,?,
Togo,?,,57.16,Moderate,52.78,Moderate,?,,?,,11.97,Moderate,7.00,Very Low,82.50,Very High,?,
Tonga,?,,36.69,Low,66.67,High,?,,?,,?,,?,,?,,?,
Trinidad And Tobago,39.15,Very Low,28.65,Low,53.41,Moderate,67.55,High,53.97,Low,8.08,Moderate,49.28,High,66.66,High,91.31,Very Low
Tunisia,28.40,Very Low,55.46,Moderate,56.22,Moderate,93.24,Very High,27.46,Very Low,11.71,Moderate,32.70,Low,71.21,High,114.38,Low
Turkey,34.28,Very Low,60.46,High,70.85,High,93.26,Very High,21.63,Very Low,9.51,Moderate,44.20,High,65.35,High,126.02,Moderate
Turkmenistan,11.73,Very Low,59.77,Moderate,52.04,Moderate,?,,129.00,Very High,23.09,Very High,14.33,Very Low,34.83,Low,?,
Turks And Caicos Islands,?,,52.83,Moderate,47.22,Moderate,?,,?,,3.61,Very Low,?,,41.38,Moderate,?,
Tuvalu,?,,78.82,High,?,,?,,?,,0.89,Very Low,?,,?,,?,
Uganda,11.33,Very Low,43.92,Moderate,47.41,Moderate,98.41,Very High,32.75,Very Low,"1,295.61",,44.13,High,84.71,Very High,0.00,Very Low
Ukraine,36.59,Very Low,53.05,Moderate,54.09,Moderate,70.69,High,31.18,Very Low,10.85,Moderate,37.75,Moderate,63.19,High,111.39,Low
