id,name,city,country,email,rank,city_id
1072,Parks College of Engineering Aviation Technology Saint Louis University,St Louis,USA,parks.college.of@findmymasters.com,NULL,NULL
1073,Middle Tennessee State University College of Basic and Applied Sciences CBAS,Murfreesboro,USA,middle.tennessee.state@findmymasters.com,NULL,NULL
1074,University of Science and Technology of Hanoi USTH,Hanoi,Vietnam,university.of.science@findmymasters.com,NULL,NULL
1075,Vaughn College Of Aeronautics And Technology,Queens,USA,vaughn.college.of@findmymasters.com,NULL,NULL
1076,Universidade Santiago de Compostela,Lugo,Spain,universidade.santiago.de@findmymasters.com,NULL,NULL
1077,York College CUNY,Queens,USA,york.college.cuny@findmymasters.com,NULL,NULL
1078,Purdue Online Polytechnic Institute,West Lafayette,USA,purdue.online.polytechnic@findmymasters.com,NULL,NULL
1079,ISAEENSMA,ChasseneuilduPoitou,France,isaeensma@findmymasters.com,NULL,NULL
1080,Technical University of Applied Sciences Wildau,,Germany,technical.university.of@findmymasters.com,NULL,NULL
1081,American University in Switzerland,La TourdePeilz,Switzerland,american.university.in@findmymasters.com,NULL,NULL
1082,Delta State University College of Business,Cleveland,USA,delta.state.university@findmymasters.com,NULL,NULL
1083,EmbryRiddle Aeronautical University Asia,Singapore,Singapore,embryriddle.aeronautical.university@findmymasters.com,NULL,703
1084,IONIS Education Group,ledeFrance,France,ionis.education.group@findmymasters.com,NULL,NULL
1085,Chiba Institute of Science Chiba Kagaku Daigaku CIS,Choshi,Japan,chiba.institute.of@findmymasters.com,NULL,NULL
1086,Universitue Telematica San Raffaele Roma,Rome,Italy,universitue.telematica.san@findmymasters.com,NULL,405
1087,University of Passau,Passau,Germany,university.of.passau@findmymasters.com,NULL,255
1088,University of Turin,Turin,Italy,university.of.turin@findmymasters.com,485,408
1089,IAE Nice Graduate School of Management,Nice,France,iae.nice.graduate@findmymasters.com,NULL,234
1090,University of Nevada,Reno,USA,university.of.nevada@findmymasters.com,NULL,NULL
1091,Kyrgyz National Agrarian University,Bishkek,Kyrgyzstan,kyrgyz.national.agrarian@findmymasters.com,NULL,440
1092,Universidad Rey Juan Carlos T,Madrid,Spain,universidad.rey.juan@findmymasters.com,1001-1200,742
1093,Berlin School Of Business Innovation,Berlin,Germany,berlin.school.of@findmymasters.com,NULL,246
1094,Bilbao Chamber Of Commerce University College,Bilbao,Spain,bilbao.chamber.of@findmymasters.com,NULL,726
1095,Agrarian University Foundation of Colombia Fundaciufn Universitaria Agraria de Colombia u The Green U of Colombia UNIAGRARIA,Bogot,Colombia,agrarian.university.foundation@findmymasters.com,NULL,170
1096,Central Christian College Of Kansas,McPherson,USA,central.christian.college@findmymasters.com,NULL,NULL
1097,Marriott School of Management Brigham Young University,Provo,USA,marriott.school.of@findmymasters.com,NULL,NULL
1098,International Psychoanalytic University Berlin,Berlin,Germany,international.psychoanalytic.university@findmymasters.com,NULL,246
1099,Vladivostok State University of Economics and Service,Vladivostok,Russia,vladivostok.state.university@findmymasters.com,NULL,677
1100,Jaume I University Universitat Jaume I,Castelln de la Plana,Spain,jaume.i.university@findmymasters.com,NULL,NULL
1101,EUDE Escuela Europea de Direcciufn De Empresas,Madrid,Spain,eude.escuela.europea@findmymasters.com,NULL,742
1102,Ca Foscari University of Venice,Treviso,Italy,ca.foscari.university@findmymasters.com,NULL,NULL
1103,Jacksonville University,Jacksonville,USA,jacksonville.university@findmymasters.com,NULL,NULL
1104,Kyrgyz Economic University,Bishkek,Kyrgyzstan,kyrgyz.economic.university@findmymasters.com,NULL,440
1105,Clayton State University,Morrow,USA,clayton.state.university@findmymasters.com,NULL,NULL
1106,Royal Agricultural University,Cirencester,United Kingdom,royal.agricultural.university@findmymasters.com,NULL,NULL
1107,Universitue dArtois,Arras,France,universitue.dartois@findmymasters.com,NULL,NULL
1108,Pearson College,London,United Kingdom,pearson.college@findmymasters.com,NULL,119
1109,CNAM The International Institute of Management,Paris,France,cnam.the.international@findmymasters.com,NULL,235
1110,The University Of Queensland,Brisbane,Australia,the.university.of@findmymasters.com,47,24
1111,Peking University HSBC Business School PHBS,Shenzhen,China,peking.university.hsbc@findmymasters.com,NULL,164
1112,Neapolis University Pafos,Paphos,Cyprus,neapolis.university.pafos@findmymasters.com,NULL,NULL
1113,Robert Kennedy College,City of Carlisle,United Kingdom,robert.kennedy.college@findmymasters.com,NULL,NULL
1114,King Stage,London,United Kingdom,king.stage@findmymasters.com,NULL,119
1115,American College of Healthcare Sciences,Portland,USA,american.college.of@findmymasters.com,NULL,NULL
1116,University of San Diego Professional and Continuing Education,San Diego,USA,university.of.san@findmymasters.com,NULL,NULL
1117,EM Normandie Business School,Caen,France,em.normandie.business@findmymasters.com,NULL,NULL
1118,Swiss Education Group SEG,Le Bouveret,Switzerland,swiss.education.group@findmymasters.com,NULL,NULL
1119,Karolinska Institutet,Stockholm,Sweden,karolinska.institutet@findmymasters.com,NULL,767
1120,Babson College,Wellesley,USA,babson.college@findmymasters.com,NULL,NULL
1121,GISMA University of Applied Science,Berlin,Germany,gisma.university.of@findmymasters.com,NULL,246
1122,The International University in Geneva,Geneva,Switzerland,the.international.university@findmymasters.com,105,770
1123,Universitatea De Vest Din Timisoara,Timioara,Romania,universitatea.de.vest@findmymasters.com,NULL,635
1124,Kelley Direct Online,USA Online,USA,kelley.direct.online@findmymasters.com,NULL,NULL
1125,ESSCA School of Management,Angers,France,essca.school.of@findmymasters.com,NULL,NULL
1126,Leeds Trinity University,Leeds,United Kingdom,leeds.trinity.university@findmymasters.com,NULL,NULL
1127,EBS GENucVE,Geneva,Switzerland,ebs.genucve@findmymasters.com,NULL,770
1128,Osaka City University,Osaka,Japan,osaka.city.university@findmymasters.com,571-580,423
1129,Muelardalen University,Eskilstuna,Sweden,muelardalen.university@findmymasters.com,NULL,NULL
1130,Nova School of Business and Economics,Lisbon,Portugal,nova.school.of@findmymasters.com,NULL,624
1131,Pskov State University,Pskov,Russia,pskov.state.university@findmymasters.com,NULL,NULL
1132,Escuela de Negocios Universidad Adolfo Ibueufez,Santiago,Chile,escuela.de.negocios@findmymasters.com,NULL,593
1133,University of Management TISBI,Kazan,Russia,university.of.management@findmymasters.com,NULL,643
1134,Grancolombiano Polytechnic Polituecnico Grancolombiano,Bogot,Colombia,grancolombiano.polytechnic.polituecnico@findmymasters.com,NULL,170
1135,The American Open University,Alexandria,USA,the.american.open@findmymasters.com,NULL,NULL
1136,Access Masters,Medelln,Colombia,access.masters@findmymasters.com,NULL,174
1137,Erasmus School of Economics Erasmus University Rotterdam,Rotterdam,Netherlands,erasmus.school.of@findmymasters.com,NULL,547
1138,Unilasalle CanoasRS La Salle Business School,Historical Centre,Brazil,unilasalle.canoasrs.la@findmymasters.com,NULL,NULL
1139,University of Asia and the Pacific,Pasig,Philippines,university.of.asia@findmymasters.com,NULL,NULL
1140,Southeast University,Nanjing,China,southeast.university@findmymasters.com,465,160
1141,Glasgow Caledonian University London GCU London,London,United Kingdom,glasgow.caledonian.university@findmymasters.com,NULL,119
1142,edX,Cambridge,USA,edx@findmymasters.com,NULL,550
1143,Universidad Internacional de Andalucueda UNIA,Seville,Spain,universidad.internacional.de@findmymasters.com,NULL,NULL
1144,University of Applied Sciences Upper Austria,Wels,Austria,university.of.applied@findmymasters.com,NULL,NULL
1145,Fachhochschule Salzburg University of Applied Sciences,Salzburg,Austria,fachhochschule.salzburg.university@findmymasters.com,NULL,NULL
1146,University of Trento,Trento,Italy,university.of.trento@findmymasters.com,440,NULL
1147,EALDE Business School,Community of Madrid,Spain,ealde.business.school@findmymasters.com,NULL,NULL
1148,Munich Business School,Munich,Germany,munich.business.school@findmymasters.com,NULL,254
1149,San Francisco State University,San Francisco,USA,san.francisco.state@findmymasters.com,NULL,178
1150,Mundiapolis University of Casablanca,Nouaceur,Morocco,mundiapolis.university.of@findmymasters.com,NULL,NULL
1151,Nebraska Wesleyan University,Lincoln,USA,nebraska.wesleyan.university@findmymasters.com,NULL,NULL
1152,Hamburg University of Technology,Hamburg,Germany,hamburg.university.of@findmymasters.com,NULL,251
1153,Universidade Estuecio,Rio de Janeiro,Brazil,universidade.estuecio@findmymasters.com,NULL,NULL
1154,Moscow State University of technologies and management,Moscow,Russia,moscow.state.university@findmymasters.com,NULL,652
1155,State Institute Of Economics Finance Law and Technology,Gatchina,Russia,state.institute.of@findmymasters.com,NULL,NULL
1156,Lasallian University Corporation,Caldas,Colombia,lasallian.university.corporation@findmymasters.com,NULL,NULL
1157,uccole Polytechnique,Palaiseau,France,uccole.polytechnique@findmymasters.com,NULL,NULL
1158,University of Southern California USC Jimmy Iovine and Andre Young Academy for Arts Technology and the Business of Innovation,South Los Angeles,USA,university.of.southern@findmymasters.com,NULL,NULL
1159,ESSEC Business School,Cergy,France,essec.business.school@findmymasters.com,NULL,NULL
1160,Istanbul Medipol University,Istanbul,Turkey,istanbul.medipol.university@findmymasters.com,NULL,809
1161,Claretian University Centre Centro Universituerio Claretiano CEUCLAR,Rio de Janeiro,Brazil,claretian.university.centre@findmymasters.com,NULL,NULL
1162,IMC University of Applied Sciences Krems,Krems an der Donau,Austria,imc.university.of@findmymasters.com,NULL,NULL
1163,Universitat Rovira i Virgili,Reus,Spain,universitat.rovira.i@findmymasters.com,701-750,NULL
1164,University of California Los Angeles Anderson School of Management,Los Angeles,USA,university.of.california@findmymasters.com,NULL,NULL
1165,Values ububCenter Centro de Valores SC,Guadalajara,Mexico,values.ububcenter.centro@findmymasters.com,NULL,736
1166,ICN Business School,Nancy,France,icn.business.school@findmymasters.com,NULL,232
1167,Mid Sweden University,Sundsvall,Sweden,mid.sweden.university@findmymasters.com,NULL,768
1168,Polytechnic of Leiria,Leiria,Portugal,polytechnic.of.leiria@findmymasters.com,NULL,NULL
1169,RMIT Vietnam,Ho Chi Minh City,Vietnam,rmit.vietnam@findmymasters.com,NULL,NULL
1170,IDESIE Business School,Madrid,Spain,idesie.business.school@findmymasters.com,NULL,742
1171,Towson University College of Business Economics,Towson,USA,towson.university.college@findmymasters.com,NULL,NULL
1172,GBSB Global Business School,Barcelona,Spain,gbsb.global.business@findmymasters.com,NULL,725
1173,Brand University of Applied Sciences,Hamburg,Germany,brand.university.of@findmymasters.com,NULL,251
1174,University of Porto School of Economics and Management,Porto,Portugal,university.of.porto@findmymasters.com,295,626
1175,University of Charleston,Charleston,USA,university.of.charleston@findmymasters.com,NULL,NULL
1176,Belgorod National Research University,Belgorod,Russia,belgorod.national.research@findmymasters.com,NULL,638
1177,University of Vaasa,Vaasa,Finland,university.of.vaasa@findmymasters.com,NULL,219
1178,Fresenius University of Applied Sciences,Berlin,Germany,fresenius.university.of@findmymasters.com,NULL,246
1179,California University Of Management And Sciences,Anaheim,USA,california.university.of@findmymasters.com,NULL,NULL
1180,Fresenius University of Applied Sciences,Cologne,Germany,fresenius.university.of@findmymasters.com,NULL,247
1181,La Trobe University,Melbourne,Australia,la.trobe.university@findmymasters.com,362,39
1182,University of Dundee School of Social Sciences,Dundee,United Kingdom,university.of.dundee@findmymasters.com,NULL,NULL
1183,ESC Clermont Business School,ClermontFerrand,France,esc.clermont.business@findmymasters.com,NULL,NULL
1184,Geneva School of Economics and Management u Msc in Commodity Trading,Geneva,Switzerland,geneva.school.of@findmymasters.com,NULL,770
1185,Ecole Supuerieure de Commerce de Communication et de Gestion,Agde,France,ecole.supuerieure.de@findmymasters.com,NULL,NULL
1186,Athlone Institute of Technology,Athlone,Ireland,athlone.institute.of@findmymasters.com,NULL,NULL
1187,De Vinci Higher Education Group,Paris,France,de.vinci.higher@findmymasters.com,NULL,235
1188,U Law Hong Kong,Hong Kong,Hong Kong,u.law.hong@findmymasters.com,NULL,282
1189,International Californias University,Tijuana,Mexico,international.californias.university@findmymasters.com,NULL,513
1190,Langston University,Langston,USA,langston.university@findmymasters.com,NULL,NULL
1191,Loyola Marymount University College of Business Administration,Los Angeles,USA,loyola.marymount.university@findmymasters.com,NULL,NULL
1192,American Consortium of Universities INTERLINK,Louisville,USA,american.consortium.of@findmymasters.com,NULL,NULL
1193,FIA u Fundaueueo Instituto de Administraueueo,So Paulo,Brazil,fia.u.fundaueueo@findmymasters.com,NULL,94
1194,GlobalNxt University,Kuala Lumpur,Malaysia,globalnxt.university@findmymasters.com,NULL,463
1195,OnCampus,Germany Online,Germany,oncampus@findmymasters.com,NULL,NULL
1196,University of New Orleans College of Business Administration,New Orleans,USA,university.of.new@findmymasters.com,NULL,NULL
1197,Russian University Of Cooperation part of Centrosoyuz,Mytishchi,Russia,russian.university.of@findmymasters.com,NULL,NULL
1198,Mulungushi ECAMPUS,Central Province,Zambia,mulungushi.ecampus@findmymasters.com,NULL,NULL
1199,Access Masters,Bengaluru,India,access.masters@findmymasters.com,NULL,NULL
1200,Vilnius University,Kaunas,Lithuania,vilnius.university@findmymasters.com,400,449
1201,Zhejiang University International Business School,Jiaxing,China,zhejiang.university.international@findmymasters.com,45,NULL
1202,Institut Francais de la Mode,Paris,France,institut.francais.de@findmymasters.com,NULL,235
1203,Dalarna University,Borlnge,Sweden,dalarna.university@findmymasters.com,NULL,NULL
1204,York St John University,York,United Kingdom,york.st.john@findmymasters.com,NULL,NULL
1205,Kansas State University College of Agriculture,Manhattan,USA,kansas.state.university@findmymasters.com,NULL,NULL
1206,CEUPE,Madrid,Spain,ceupe@findmymasters.com,NULL,742
1207,Colegiatura Colombiana,Medelln,Colombia,colegiatura.colombiana@findmymasters.com,NULL,174
1208,Corvinus University of Budapest,Budapest,Hungary,corvinus.university.of@findmymasters.com,801-1000,283
1209,CESA College of Higher Studies in Administration,Bogot,Colombia,cesa.college.of@findmymasters.com,NULL,170
1210,ESSCA School of Management Online Programs,Paris,France,essca.school.of@findmymasters.com,NULL,235
1211,IBS International Business School Ljubljana,Ljubljana,Slovenia,ibs.international.business@findmymasters.com,NULL,708
1212,Luiss Guido Carli University Business School,Rome,Italy,luiss.guido.carli@findmymasters.com,NULL,405
1213,Anaheim University Online,USA Online,USA,anaheim.university.online@findmymasters.com,NULL,NULL
1214,ITESO Universidad Jesuita de Guadalajara,Tlaquepaque,Mexico,iteso.universidad.jesuita@findmymasters.com,1201+,NULL
1215,UBIS,Geneva,Switzerland,ubis@findmymasters.com,NULL,770
1216,BHMS Business Hotel Management School,Lucerne,Switzerland,bhms.business.hotel@findmymasters.com,NULL,NULL
1217,Carnegie Mellon University School of Computer Science,Pittsburgh,USA,carnegie.mellon.university@findmymasters.com,NULL,NULL
1218,UNITAR United Nations Institute for Training and Research,Valencia,Spain,unitar.united.nations@findmymasters.com,NULL,752
1219,Aston Institute,Hong Kong,Hong Kong,aston.institute@findmymasters.com,485,282
1220,Princess Nourah Bint Abdulrahman University,Riyadh,Saudi Arabia,princess.nourah.bint@findmymasters.com,751-800,693
1221,Guayaquil Business Technological University UTEG Universidad Tecnolufgica Empresarial de Guayaquil,Guayaquil,Ecuador,guayaquil.business.technological@findmymasters.com,NULL,198
1222,Angelufpolis University,Puebla City,Mexico,angelufpolis.university@findmymasters.com,NULL,NULL
1223,CENTRO diseufo cine televisiufn,Mexico City,Mexico,centro.diseufo.cine@findmymasters.com,NULL,503
1224,University of San Andrues,Victoria,Argentina,university.of.san@findmymasters.com,NULL,98
1225,Hanken School of Economics,Helsinki,Finland,hanken.school.of@findmymasters.com,NULL,215
1226,ESEI International Business School Barcelona,Barcelona,Spain,esei.international.business@findmymasters.com,NULL,725
1227,University of Pavia,Pavia,Italy,university.of.pavia@findmymasters.com,NULL,NULL
1228,ISEAD Business School,Madrid,Spain,isead.business.school@findmymasters.com,NULL,742
1229,Asia Pacific University of Technology Innovation APU,Kuala Lumpur,Malaysia,asia.pacific.university@findmymasters.com,NULL,463
1230,EDC Paris Business School,Paris,France,edc.paris.business@findmymasters.com,NULL,235
1231,University of Bath Online,Bath,United Kingdom,university.of.bath@findmymasters.com,NULL,NULL
1232,China University Of Technology,Taipei,Taiwan,china.university.of@findmymasters.com,98,777
1233,ESCP Business School Madrid Campus,Madrid,Spain,escp.business.school@findmymasters.com,NULL,742
1234,Peter the Great St Petersburg Polytechnic University,Saint Petersburg,Russia,peter.the.great@findmymasters.com,393,664
1235,Access Masters,Brussels,Belgium,access.masters@findmymasters.com,NULL,63
1236,ESCP Business School,Madrid,Spain,escp.business.school@findmymasters.com,NULL,742
1237,ZHAW Zurich University Of Applied Sciences,Winterthur,Switzerland,zhaw.zurich.university@findmymasters.com,NULL,NULL
1238,Catholic University of Lille u Faculty of Management Economics Science,Lille,France,catholic.university.of@findmymasters.com,NULL,NULL
1239,ESPM u Brasil,So Paulo,Brazil,espm.u.brasil@findmymasters.com,NULL,94
1240,Chang Jung Christian University,Tainan,Taiwan,chang.jung.christian@findmymasters.com,1001-1200,776
1241,ESADE Business School,Barcelona,Spain,esade.business.school@findmymasters.com,NULL,725
1242,New Design University GWT Aus und Weiterbildungs GmbH,Saint Plten,Austria,new.design.university@findmymasters.com,NULL,NULL
1243,Vytautas Magnus University,Kaunas,Lithuania,vytautas.magnus.university@findmymasters.com,801-1000,449
1244,UEENI Global Network Ahimsa University EENI Business School,Tarragona,Spain,ueeni.global.network@findmymasters.com,NULL,NULL
1245,UTH Florida University,Tampa,USA,uth.florida.university@findmymasters.com,581-590,NULL
1246,Dongbei University Of Finance And Economics DUFE,Dalian,China,dongbei.university.of@findmymasters.com,NULL,155
1247,LUT University,Lappeenranta,Finland,lut.university@findmymasters.com,NULL,NULL
1248,International Business School the Hague,The Hague,Netherlands,international.business.school@findmymasters.com,NULL,NULL
1249,University of Central Lancashire,Preston,United Kingdom,university.of.central@findmymasters.com,801-1000,NULL
1250,Swiss Education Group SEG,Leysin,Switzerland,swiss.education.group@findmymasters.com,NULL,NULL
1251,GISMA Kingston,Hamburg,Germany,gisma.kingston@findmymasters.com,NULL,251
1252,TBS Business School in Barcelona,Barcelona,Spain,tbs.business.school@findmymasters.com,NULL,725
1253,Carinthia University of Applied Sciences,Villach,Austria,carinthia.university.of@findmymasters.com,NULL,49
1254,HSE University,Saint Petersburg,Russia,hse.university@findmymasters.com,NULL,664
1255,Collective Academy,Miguel Hidalgo,Mexico,collective.academy@findmymasters.com,NULL,NULL
1256,Dimitrie Cantemir Christian University,Bucharest,Romania,dimitrie.cantemir.christian@findmymasters.com,NULL,632
1257,BCSM Business Consulting School of Management,Madrid,Spain,bcsm.business.consulting@findmymasters.com,NULL,742
1258,Seidman College of Business Grand Valley State University,Grand Rapids,USA,seidman.college.of@findmymasters.com,NULL,NULL
1259,Florida International University,Miami,USA,florida.international.university@findmymasters.com,801-1000,NULL
1260,Matej Bel University,Bansk Bystrica,Slovakia,matej.bel.university@findmymasters.com,NULL,NULL
1261,University of Massachusetts Amherst Isenberg,Amherst,USA,university.of.massachusetts@findmymasters.com,NULL,NULL
1262,INESDI Business School,Madrid,Spain,inesdi.business.school@findmymasters.com,NULL,742
1263,The University of Manchester Middle East Centre,Dubai,United Arab Emirates,the.university.of@findmymasters.com,NULL,NULL
1264,Saint Paul Business School,,Brazil,saint.paul.business@findmymasters.com,NULL,NULL
1265,CATOLICA Faculty of Human Sciences,Lisbon,Portugal,catolica.faculty.of@findmymasters.com,NULL,624
1266,Swiss School of Higher Education,Montreux,Switzerland,swiss.school.of@findmymasters.com,NULL,NULL
1267,University of OsijekuaFaculty of Economics,Osijek,Croatia,university.of.osijekuafaculty@findmymasters.com,NULL,NULL
1268,University Of Rijeka Faculty of Economics and Business,Rijeka,Croatia,university.of.rijeka@findmymasters.com,1001-1200,NULL
1269,Grupo Tiradentes,Aracaju,Brazil,grupo.tiradentes@findmymasters.com,NULL,NULL
1270,Arcada,Helsinki,Finland,arcada@findmymasters.com,NULL,215
1271,ISM University of Management and Economics,Vilnius County,Lithuania,ism.university.of@findmymasters.com,NULL,NULL
1272,M K Ammosov NorthEastern Federal University,Yakutsk,Russia,m.k.ammosov@findmymasters.com,NULL,681
1273,uctablissement Spuecialisue de la Francophonie pour lAdministration et le Management,Sofia,Bulgaria,uctablissement.spuecialisue.de@findmymasters.com,NULL,100
1274,Maastricht University School of Business and Economics,Maastricht,Netherlands,maastricht.university.school@findmymasters.com,233,NULL
1275,Baria Vungtau University,Vng Tu,Vietnam,baria.vungtau.university@findmymasters.com,NULL,NULL
1276,Grozny State Oil Technical University,Grozny,Russia,grozny.state.oil@findmymasters.com,NULL,NULL
1277,Stevens Institute of Technology Graduate Studies,Hoboken,USA,stevens.institute.of@findmymasters.com,701-750,NULL
1278,IM u Digital Business School,Barcelona,Spain,im.u.digital@findmymasters.com,NULL,725
1279,Sciences Po,Paris,France,sciences.po@findmymasters.com,261,235
1280,Irkutsk State University Of Railway Engineering,Irkutsk,Russia,irkutsk.state.university@findmymasters.com,NULL,640
1281,ESSCA School of Management,Paris,France,essca.school.of@findmymasters.com,NULL,235
1282,Aalen University,Aalen,Germany,aalen.university@findmymasters.com,NULL,NULL
1283,Webber International University,Orlando,USA,webber.international.university@findmymasters.com,NULL,NULL
1284,Universitue degli Studi di Udine,Udine,Italy,universitue.degli.studi@findmymasters.com,801-1000,NULL
1285,University of South Florida,Tampa,USA,university.of.south@findmymasters.com,NULL,NULL
1286,Clemson University College of Science,Clemson,USA,clemson.university.college@findmymasters.com,NULL,NULL
1287,University of Cape Town Graduate School of Business,Cape Town,South Africa,university.of.cape@findmymasters.com,226,711
1288,UNIDERP Universidade Anhanguera University Of Anhanguera,Rua Miguel Couto,Brazil,uniderp.universidade.anhanguera@findmymasters.com,NULL,NULL
1289,Yunnan University,Kunming,China,yunnan.university@findmymasters.com,NULL,NULL
1290,Texas Christian University Neeley School of Business,Fort Worth,USA,texas.christian.university@findmymasters.com,NULL,NULL
1291,University of Utah College of Engineering,Salt Lake City,USA,university.of.utah@findmymasters.com,358,NULL
1292,New Jersey City University,Jersey City,USA,new.jersey.city@findmymasters.com,NULL,NULL
1293,ESCP Business School,Spain Online,Spain,escp.business.school@findmymasters.com,NULL,NULL
1294,Universidad Fasta Distancia,Mar del Plata,Argentina,universidad.fasta.distancia@findmymasters.com,NULL,NULL
1295,University Of The Valley Of Guatemala,Guatemala City,Guatemala,university.of.the@findmymasters.com,NULL,276
1296,Sukhothai Thammathirat Open University,Bang Phut Subdistrict,Thailand,sukhothai.thammathirat.open@findmymasters.com,NULL,NULL
1297,Radboud University,Nijmegen,Netherlands,radboud.university@findmymasters.com,220,NULL
1298,Long Island University Post Campus,Brookville,USA,long.island.university@findmymasters.com,NULL,NULL
1299,University of Auckland Business School,Auckland,New Zealand,university.of.auckland@findmymasters.com,85,549
1300,Rotterdam School of Management Erasmus University,Rotterdam,Netherlands,rotterdam.school.of@findmymasters.com,NULL,547
1301,Tueluecom Paris,Palaiseau,France,tueluecom.paris@findmymasters.com,NULL,NULL
1302,Luiss Guido Carli,Rome,Italy,luiss.guido.carli@findmymasters.com,NULL,405
1303,Boduf Graduate School of Business HHB,Bod,Norway,boduf.graduate.school@findmymasters.com,NULL,NULL
1304,Global University Of Engineering,Santa Clara,USA,global.university.of@findmymasters.com,NULL,NULL
1305,EARTH University,San Jos,Costa Rica,earth.university@findmymasters.com,NULL,179
1306,Steinbeis School of Management and Innovation,Berlin,Germany,steinbeis.school.of@findmymasters.com,NULL,246
1307,Vlerick Business School,Brussels,Belgium,vlerick.business.school@findmymasters.com,NULL,63
1308,St Thomas University Florida,Miami Gardens,USA,st.thomas.university@findmymasters.com,NULL,NULL
1309,SRH Berlin University of Applied Sciences,Dresden,Germany,srh.berlin.university@findmymasters.com,NULL,NULL
1310,University of Antwerp,Antwerp,Belgium,university.of.antwerp@findmymasters.com,NULL,62
1311,University Of Crete,Heraklion,Greece,university.of.crete@findmymasters.com,651-700,265
1312,LudwigMaximiliansUniversituet Mufcnchen Munich School of Management,Munich,Germany,ludwigmaximiliansuniversituet.mufcnchen.munich@findmymasters.com,NULL,254
1313,Gaia University,Minneapolis,USA,gaia.university@findmymasters.com,NULL,NULL
1314,Jaime Isaza Cadavid Colombian Polytechnic Polituecnico Colombiano Jaime Isaza Cadavid,Jardin antioquia,Colombia,jaime.isaza.cadavid@findmymasters.com,NULL,NULL
1315,University of Deusto Deusto Business School,San Sebastin,Spain,university.of.deusto@findmymasters.com,NULL,749
1316,Indonesia International Institute for Life Sciences iL,Jakarta,Indonesia,indonesia.international.institute@findmymasters.com,NULL,357
1317,The Higher Education Business and Management School Escola Superior de Administraueueo e Gestueo STRONGESAGS,Jardim So Paulo,Brazil,the.higher.education@findmymasters.com,NULL,NULL
1318,Financial University under the Government of the Russian Federation,Moscow,Russia,financial.university.under@findmymasters.com,801-1000,652
1319,Access Masters,So Paulo,Brazil,access.masters@findmymasters.com,NULL,94
1320,Webster University Italy,Rome,Italy,webster.university.italy@findmymasters.com,NULL,405
1321,Access Masters,Mumbai,India,access.masters@findmymasters.com,NULL,331
1322,San Gil University Foundation Fundaciufn Universitaria de San Gil UNISANGIL,San Gil,Colombia,san.gil.university@findmymasters.com,NULL,NULL
1323,Ural State University Of Railway Transport,Nizhny Tagil,Russia,ural.state.university@findmymasters.com,NULL,NULL
1324,Advenio eAcademy,Malta Online,Malta,advenio.eacademy@findmymasters.com,NULL,NULL
1325,Rutgers University Professional Science Masters Program,Piscataway Township,USA,rutgers.university.professional@findmymasters.com,NULL,NULL
1326,University of Ferrara Department of Economics,Ferrara,Italy,university.of.ferrara@findmymasters.com,NULL,NULL
1327,University Fundepos Universidad Fundepos,San Jos,Costa Rica,university.fundepos.universidad@findmymasters.com,NULL,179
1328,Kajaani University of Applied Sciences,Kajaani,Finland,kajaani.university.of@findmymasters.com,NULL,NULL
1329,State Marine Technical University Of St Petersburg,Saint Petersburg,Russia,state.marine.technical@findmymasters.com,NULL,664
1330,Kedge Business School,Bordeaux,France,kedge.business.school@findmymasters.com,NULL,222
1331,Nticmaster,Madrid,Spain,nticmaster@findmymasters.com,NULL,742
1332,NEOMA Business School,Rouen,France,neoma.business.school@findmymasters.com,NULL,NULL
1333,CatuflicaLisbon Graduate School,Lisbon,Portugal,catuflicalisbon.graduate.school@findmymasters.com,NULL,624
1334,Gies College of Business at the University of Illinois UrbanaChampaign,Champaign,USA,gies.college.of@findmymasters.com,NULL,NULL
1335,Aberystwyth University Business School,Aberystwyth,United Kingdom,aberystwyth.university.business@findmymasters.com,541-550,NULL
1336,Hassan University Casablanca,An Chock,Morocco,hassan.university.casablanca@findmymasters.com,NULL,NULL
1337,EU Business School,Barcelona,Spain,eu.business.school@findmymasters.com,NULL,725
1338,University of Southern Queensland USQ,Toowoomba,Australia,university.of.southern@findmymasters.com,701-750,NULL
1339,Meritorious Autonomous University of Puebla,Miguel Hidalgo,Mexico,meritorious.autonomous.university@findmymasters.com,NULL,NULL
1340,The EKA University of Applied Sciences,Riga,Latvia,the.eka.university@findmymasters.com,NULL,442
1341,ESIC Business Marketing School,Madrid,Spain,esic.business.marketing@findmymasters.com,NULL,742
1342,HEC Paris School of Management,Paris,France,hec.paris.school@findmymasters.com,NULL,235
1343,University of BielskoBiala,lska,Poland,university.of.bielskobiala@findmymasters.com,NULL,NULL
1344,Louisiana State University of Alexandria,Alexandria,USA,louisiana.state.university@findmymasters.com,NULL,NULL
1345,Hult International Business School,London,United Kingdom,hult.international.business@findmymasters.com,NULL,119
1346,Uppue,Puebla City,Mexico,uppue@findmymasters.com,NULL,NULL
1347,S P Jain School of Global Management Singapore,Singapore,Singapore,s.p.jain@findmymasters.com,NULL,703
1348,University of Zurich Faculty of Economics,Zrich,Switzerland,university.of.zurich@findmymasters.com,NULL,771
1349,Dallas Baptist University,Dallas,USA,dallas.baptist.university@findmymasters.com,NULL,NULL
1350,UniLaSalle,Rennes,France,unilasalle@findmymasters.com,NULL,237
1351,SaintEtienne School of Economics,Sainttienne,France,saintetienne.school.of@findmymasters.com,NULL,NULL
